id,genre
1,Проза
2,Фантастика
3,Фэнтези
4,Детектив
5,Триллер
6,Драма
7,Ужасы
8,Комиксы/манга
9,Приключения
10,Поэзия
11,Научпоп
12,Хобби
13,Образование
14,Для детей
15,Другое
