id,action
1,Добавление книги
2,Добавление в вишлист
3,Бронирование (Перевод в статус Забронирована)
4,Подтверждение брони
5,Отдал книгу
6,Забрал книгу
7,Перевод в статус Читается
8,Перевод в статус Свободна
9,Перевод в статус Свободна автоматически
